voidID radius(Mpc/h) ellip
3240 49.73 0.09184
1929 43.43 0.174852
449 60.58 0.053446
549 32.97 0.132536
653 41.37 0.079696
739 47.97 0.222493
954 39.16 0.073162
3251 27.3 0.117609
2747 34.56 0.093825
374 47.57 0.137153
1601 28.97 0.221763
1893 66.72 0.133035
2497 54.56 0.136624
1792 41.38 0.071587
2517 39.45 0.070468
470 57.96 0.105505
3057 44.59 0.143022
3117 39.31 0.047431
1740 49.92 0.071725
1317 72.96 0.24028
1510 57.27 0.166394
1166 36.45 0.150158
2263 55.32 0.046529
1392 56.09 0.085164
633 42.99 0.090106
1300 43.06 0.124276
1323 26.22 0.042772
2857 56.2 0.133504
2276 44.98 0.122039
3185 32.18 0.069446
2178 48.37 0.086937
1838 39.93 0.175185
2928 65.34 0.153031
1596 45.11 0.099409
2687 30.26 0.077178
1917 38.29 0.069389
1001 64.37 0.06423
2499 41.16 0.088269
942 53.76 0.069957
232 28.69 0.131384
1307 51.53 0.105873
2143 43.24 0.110575
2548 39.52 0.15961
8 41.73 0.10398
3064 62.12 0.132736
2909 62.59 0.13134
1967 36.94 0.23129
2462 29.48 0.132336
3003 48.99 0.172438
2473 41.82 0.158309
720 33.35 0.146163
342 53.06 0.120017
1746 55.27 0.147165
1534 36.24 0.108427
1867 48.25 0.144695
3283 29.63 0.140741
2740 51.44 0.118388
3067 54.73 0.099661
1851 44.09 0.141664
2927 23.5 0.186406
1553 46.73 0.106065
2010 22.94 0.045824
1172 35.65 0.07665
164 56.84 0.194663
3334 40.47 0.159824
589 49.78 0.173908
1714 32.8 0.167192
3189 46.36 0.122459
1906 26.25 0.152376
2122 47.84 0.136682
2969 52.51 0.137628
2311 52.63 0.070259
2204 40.8 0.085997
2270 35.8 0.115622
924 36.38 0.111778
1079 40.27 0.172196
1040 44.33 0.058436
1649 38.74 0.101332
2361 20.83 0.187823
1456 28.68 0.053998
1948 50.75 0.13088
2272 65.64 0.079579
1540 41.1 0.092454
1387 53.87 0.125377
1907 46.26 0.112795
1972 47.67 0.095845
1119 58.86 0.050769
1759 40.9 0.092174
1800 33.28 0.122134
1216 65.82 0.162724
1827 31.08 0.215222
2748 34.72 0.198719
3074 36.97 0.216053
932 71.88 0.174688
1995 44.25 0.112088
182 61.37 0.059036
2988 45.91 0.125882
1111 60.74 0.123495
1949 52.92 0.143823
438 38.17 0.077599
1743 36.89 0.09627
1268 33.53 0.109191
2968 37.08 0.10305
316 28.5 0.102862
2345 34.21 0.102039
2587 28.96 0.098079
2539 40.06 0.202018
1862 54.61 0.166078
1526 60.73 0.080701
1103 23.15 0.049869
2407 49.32 0.121825
1762 44.52 0.1089
290 38.57 0.097867
1243 52.99 0.121229
784 49.06 0.18124
1580 61.15 0.111546
2904 37.74 0.09662
620 45.51 0.165093
1616 59.32 0.118456
3175 44.79 0.187762
1122 47.13 0.102367
800 45.64 0.135147
1270 38.69 0.172608
1607 44.59 0.17345
3182 40.31 0.105668
770 41.26 0.118294
2305 54.09 0.076632
1049 27.48 0.071528
1787 40.88 0.079551
3310 56.61 0.111498
561 39.79 0.140517
2044 50.66 0.108587
2495 38.41 0.133289
2973 56.43 0.125208
1989 45.18 0.216263
2896 46.45 0.084217
3337 43.96 0.114216
2947 30.8 0.188029
1905 66.31 0.159409
1020 40.9 0.148987
1324 37.67 0.150023
669 65.06 0.161554
2011 44.91 0.127783
2195 35.86 0.090104
67 66.83 0.137741
991 35.0 0.082036
1369 37.7 0.156939
670 36.46 0.151231
2338 43.92 0.096558
1366 36.4 0.182079
2737 45.39 0.06957
836 40.52 0.039319
2932 42.6 0.083221
1431 39.84 0.092432
2043 39.82 0.19447
1285 44.23 0.161425
2230 31.49 0.162661
3031 22.37 0.070919
63 59.65 0.091533
2868 49.16 0.131364
2354 27.16 0.10477
1230 45.95 0.163622
2730 46.18 0.113587
2793 41.97 0.151644
2718 65.65 0.10155
1822 52.45 0.150647
1213 62.31 0.07561
934 24.81 0.13912
539 58.57 0.143115
3213 32.97 0.184357
276 39.45 0.105262
2096 28.14 0.130537
938 43.76 0.160324
3055 25.22 0.146769
1602 24.61 0.108752
2945 33.62 0.15788
2356 51.61 0.115025
3384 38.36 0.187486
1462 24.25 0.103191
975 27.92 0.118412
1881 45.85 0.147244
671 42.39 0.115245
1871 46.75 0.116935
2972 32.4 0.184817
2812 40.51 0.154533
91 58.34 0.100383
474 58.84 0.225809
90 61.19 0.15374
234 43.03 0.152527
1557 49.19 0.130333
3342 25.84 0.161443
748 49.38 0.117977
3265 39.91 0.061361
3090 48.67 0.098312
1359 47.89 0.089063
2001 33.03 0.096313
1983 55.16 0.096406
457 43.03 0.090449
3425 28.04 0.130417
1037 46.28 0.099984
3345 27.55 0.147387
1138 54.11 0.124061
2326 32.81 0.164127
853 43.84 0.09419
2600 61.05 0.079477
532 41.79 0.108238
927 33.68 0.151442
2366 30.06 0.147915
2118 45.16 0.079276
263 45.83 0.117421
2599 32.44 0.072412
868 53.92 0.068724
2568 46.83 0.111665
693 32.86 0.223229
3402 62.32 0.144387
367 36.21 0.091788
3226 37.24 0.102923
3114 38.89 0.19225
1034 46.61 0.070357
201 25.04 0.149264
1177 52.57 0.063351
1702 47.16 0.105016
3424 43.96 0.06135
1048 37.95 0.156619
2307 47.67 0.131753
906 33.55 0.265578
1349 36.01 0.080703
812 30.87 0.169443
