voidID radius(Mpc/h) ellip
641 28.55 0.175681
2140 38.34 0.17933
1125 28.98 0.232061
128 15.53 0.256547
2056 42.36 0.121643
3404 47.94 0.189606
1032 22.11 0.235561
1482 35.03 0.051515
1913 25.36 0.083125
611 32.71 0.18194
1572 30.74 0.12241
3440 21.53 0.147957
1576 44.06 0.147472
617 23.62 0.161689
676 47.75 0.107964
371 34.68 0.179553
305 33.68 0.143927
3279 30.15 0.150937
1044 45.69 0.187093
2357 27.36 0.10576
1206 20.94 0.105736
244 34.25 0.190163
2705 27.27 0.125118
2388 27.61 0.094459
1328 22.79 0.23143
3434 33.06 0.129388
2648 39.09 0.110877
2278 35.99 0.284946
1693 55.62 0.099369
2475 27.24 0.130057
3010 32.31 0.131537
2833 24.62 0.15598
1563 24.25 0.181749
31 30.73 0.103172
743 25.81 0.122949
995 29.16 0.07229
2659 51.95 0.123931
2942 37.59 0.145637
2032 34.84 0.154685
205 35.57 0.105105
3170 13.99 0.190112
1626 57.92 0.056696
442 24.76 0.078699
1549 23.76 0.179469
858 29.8 0.150867
806 37.97 0.174932
426 39.48 0.164195
2242 20.41 0.191035
546 22.7 0.128945
365 32.71 0.314059
1550 23.28 0.105123
1362 31.11 0.12824
1170 16.87 0.216859
703 58.68 0.123062
68 17.91 0.316601
590 36.12 0.028038
2486 18.96 0.401718
1295 49.0 0.191147
1449 29.56 0.136649
1470 46.31 0.090605
1755 23.07 0.121029
776 14.45 0.348234
1 31.41 0.127791
1383 24.69 0.10555
1492 39.15 0.174315
520 28.81 0.23762
1112 17.06 0.154235
3348 34.47 0.315765
626 38.52 0.154481
3285 32.46 0.167152
2883 24.18 0.162058
3311 23.21 0.074962
1185 47.1 0.097317
2944 32.08 0.098832
667 34.65 0.132483
1817 26.67 0.14501
1062 24.22 0.116144
147 38.44 0.09271
1412 36.42 0.096222
687 42.23 0.196472
1606 34.68 0.123188
579 36.35 0.135196
1947 44.58 0.218597
1845 45.56 0.129734
2463 37.8 0.066295
66 28.51 0.14158
118 28.39 0.193394
610 25.33 0.206139
1954 39.0 0.13129
2538 41.95 0.254917
1986 38.58 0.167844
1181 27.56 0.154068
28 28.57 0.146898
3328 32.57 0.129753
699 54.34 0.182873
1068 50.66 0.122165
3147 15.05 0.274451
1909 20.29 0.200932
2779 28.9 0.08712
1096 55.91 0.229172
1315 34.6 0.142399
3107 46.36 0.066055
3332 37.21 0.190895
2257 34.86 0.09259
1225 26.38 0.173271
35 19.66 0.115614
1426 23.12 0.215732
429 45.61 0.103202
1121 42.92 0.08289
1073 26.91 0.117069
1790 52.89 0.088982
673 33.5 0.185364
2458 35.7 0.139306
417 35.45 0.134029
894 23.07 0.15079
2353 29.46 0.140566
1310 44.35 0.098459
2074 36.76 0.132424
337 29.71 0.149491
313 18.99 0.174913
2380 28.96 0.22591
3066 32.96 0.15444
2080 45.42 0.196043
48 37.24 0.12579
302 31.42 0.244052
1859 35.85 0.16037
1251 39.53 0.102227
2758 36.93 0.167788
2223 45.16 0.145566
1783 32.05 0.19207
126 39.19 0.149704
2395 27.63 0.142151
1021 28.61 0.092116
295 32.12 0.142937
1356 25.48 0.1774
2891 40.44 0.181823
759 28.92 0.260497
840 21.12 0.210144
1551 33.46 0.132308
2974 36.1 0.208905
252 44.34 0.161328
2319 25.05 0.163022
1069 38.58 0.186501
2738 22.11 0.194546
1706 18.54 0.206014
1586 22.98 0.143909
321 30.13 0.160741
682 39.35 0.172801
160 35.01 0.152239
3072 26.17 0.133933
815 30.38 0.138682
2771 32.61 0.193119
2780 44.37 0.130665
3336 37.9 0.167866
2100 24.12 0.088541
1661 35.7 0.102754
92 33.55 0.167408
271 38.59 0.073713
454 43.54 0.153567
884 29.82 0.17817
78 29.76 0.103757
100 37.12 0.185301
2190 33.14 0.097173
47 32.82 0.133174
1321 50.96 0.162166
1186 33.72 0.093505
2967 27.1 0.102788
2114 30.16 0.210388
550 39.56 0.085517
2071 48.47 0.147144
39 33.19 0.090538
476 22.92 0.241301
1946 38.49 0.139374
296 36.42 0.163859
1829 24.49 0.066057
2087 33.1 0.208728
2039 22.45 0.17346
1450 26.44 0.151048
3248 23.81 0.210599
2846 28.03 0.160442
1820 48.14 0.188887
1053 31.23 0.163057
3366 39.14 0.233681
644 36.29 0.152307
1151 23.62 0.185875
1033 20.52 0.08156
340 42.44 0.150904
824 32.55 0.148427
2000 32.56 0.149197
10 20.94 0.184601
928 21.84 0.168628
672 20.81 0.213253
573 28.98 0.103158
327 34.93 0.132138
2258 31.09 0.064985
1098 36.71 0.228611
2886 41.03 0.111585
1293 19.38 0.260904
1998 35.86 0.164447
839 36.49 0.144087
1345 25.9 0.175238
2562 34.35 0.101081
3126 38.3 0.092846
245 27.26 0.110561
358 26.18 0.079767
1127 31.16 0.106175
421 10.36 0.313135
207 26.01 0.08525
2308 40.66 0.157182
2261 22.44 0.141368
247 37.59 0.171229
2680 28.09 0.221409
2434 35.68 0.164758
749 35.35 0.158273
13 40.34 0.144811
729 28.76 0.14847
2320 43.24 0.120741
2511 24.77 0.13792
1491 32.12 0.179683
1620 28.65 0.122763
246 36.13 0.255162
187 32.79 0.253048
1110 38.55 0.190213
566 20.73 0.225176
1084 34.15 0.099619
820 33.64 0.162603
2769 35.0 0.082433
3326 40.67 0.150284
1474 22.38 0.216988
1372 26.89 0.100195
3164 36.99 0.166678
2457 19.8 0.167924
616 18.1 0.13574
1174 43.17 0.129867
3329 17.75 0.077767
2649 27.99 0.098275
57 15.71 0.336104
184 26.19 0.143861
3392 43.01 0.140402
2131 19.83 0.257271
2759 36.84 0.102306
1058 43.82 0.132818
2518 24.4 0.210672
841 33.87 0.14737
1529 32.69 0.179783
322 33.88 0.085703
1423 25.17 0.13134
3270 22.38 0.181808
2639 50.32 0.085232
1810 45.74 0.144045
1157 35.37 0.135605
1129 18.92 0.127314
209 41.93 0.195275
1278 28.34 0.160997
1674 37.07 0.223367
892 24.31 0.261239
3162 28.69 0.201522
733 49.17 0.152716
2602 36.93 0.131797
2485 17.6 0.218769
1255 29.91 0.181167
281 38.64 0.080919
1697 23.69 0.131771
1760 37.46 0.152015
227 30.72 0.166299
2069 43.95 0.087329
651 35.68 0.102355
2877 17.88 0.180411
299 22.11 0.207859
679 36.66 0.162127
1245 31.97 0.206585
1292 35.15 0.102373
2145 29.23 0.138114
2158 37.83 0.112397
1850 39.97 0.173246
796 22.48 0.093191
1876 38.75 0.101208
483 39.23 0.059497
1072 44.22 0.104612
2987 36.2 0.208127
658 37.56 0.122709
2764 26.98 0.245365
899 21.17 0.17845
2923 22.08 0.160735
1879 20.56 0.162567
578 24.83 0.247833
3264 40.51 0.127543
1736 20.99 0.143918
1236 29.75 0.201546
2102 24.5 0.086054
1024 25.09 0.197021
3082 25.52 0.071891
2232 48.31 0.204342
1699 12.5 0.174286
1130 43.27 0.140007
1002 33.16 0.158187
347 19.27 0.192115
1898 21.38 0.240475
1748 15.61 0.127071
2110 39.18 0.132988
911 26.31 0.066614
737 38.08 0.145999
2284 31.25 0.128743
3442 35.69 0.139398
625 30.04 0.17271
2483 24.07 0.150569
1637 37.75 0.25842
2864 29.74 0.116894
224 24.63 0.126615
1936 25.96 0.150629
627 32.19 0.098832
1927 21.97 0.147387
545 19.88 0.254815
1575 26.79 0.196551
645 28.66 0.306947
3300 10.86 0.579499
2283 26.9 0.164208
2899 24.8 0.162447
791 20.57 0.133861
2164 35.93 0.134938
685 37.49 0.100367
3369 30.69 0.072276
1884 35.09 0.134498
1846 32.53 0.118022
1488 39.81 0.199989
1214 16.13 0.227554
3169 38.9 0.181356
2996 29.17 0.077153
876 26.52 0.198912
1272 28.91 0.177953
3432 35.84 0.082472
1799 30.5 0.048502
2171 25.09 0.165854
1956 14.53 0.141216
241 34.31 0.095856
3122 34.87 0.219996
2708 39.96 0.111078
2856 20.25 0.213926
2762 27.63 0.119539
1187 27.36 0.178909
1524 44.81 0.102422
61 37.96 0.196771
2673 13.73 0.222155
1248 33.43 0.112103
1621 32.06 0.136549
410 42.89 0.152333
553 34.66 0.040283
1009 17.36 0.185729
3051 27.35 0.120453
1615 32.18 0.11242
3297 48.31 0.065524
777 25.68 0.098132
1835 32.14 0.076506
1441 25.29 0.166342
941 44.88 0.154876
1035 34.19 0.126889
1041 16.08 0.111358
1402 34.91 0.118417
1500 28.45 0.167789
2924 30.61 0.094773
2239 33.87 0.110181
3439 24.58 0.217489
2412 37.72 0.072057
409 29.04 0.145312
1598 55.25 0.145361
1154 30.3 0.133846
1418 40.23 0.154568
486 30.19 0.161265
1030 32.44 0.208935
2105 35.92 0.189445
586 40.04 0.168594
38 18.19 0.183694
2467 31.77 0.179338
1483 35.83 0.106838
732 46.78 0.071455
978 21.5 0.246768
2125 36.12 0.151888
1583 23.26 0.285962
920 28.57 0.136772
32 36.23 0.276419
3040 39.5 0.143291
750 36.47 0.150096
3056 35.07 0.187001
1930 27.07 0.1293
1860 26.76 0.287585
1223 35.2 0.128406
1993 26.51 0.254404
3215 27.22 0.148149
803 32.44 0.039754
127 37.3 0.168375
2168 36.04 0.223372
2414 30.87 0.171154
107 24.52 0.229266
3222 29.29 0.153583
1386 25.36 0.134453
1768 40.1 0.119093
361 39.63 0.109689
14 24.59 0.171622
2948 22.6 0.158605
1902 41.18 0.178671
1376 23.76 0.129657
2084 15.95 0.206636
2893 18.28 0.171215
1805 28.61 0.107386
1887 49.78 0.23837
2791 22.05 0.153442
3253 23.38 0.133458
1883 22.98 0.22978
1389 31.4 0.20637
1573 29.01 0.098652
3390 30.48 0.098995
70 41.75 0.055158
3389 15.67 0.23009
548 40.5 0.172898
1168 47.14 0.218578
786 38.91 0.155866
1695 25.78 0.103047
3308 14.4 0.281263
249 42.61 0.252321
613 19.24 0.125932
1416 53.56 0.194545
905 35.8 0.121114
2811 38.3 0.212376
2712 30.57 0.079682
2842 36.05 0.203172
3046 27.34 0.132731
1219 28.02 0.081225
2804 36.62 0.127597
2635 24.75 0.250815
414 29.25 0.161793
1244 40.23 0.162723
2324 26.24 0.228927
3301 20.16 0.150399
1163 22.08 0.093025
1218 35.92 0.119229
2202 35.81 0.160165
1555 16.69 0.194516
1439 24.29 0.231242
1435 18.03 0.182111
3257 39.03 0.111283
744 21.51 0.139279
1136 27.74 0.220081
654 19.2 0.303118
336 24.46 0.095698
893 36.5 0.244735
2431 22.86 0.118665
368 30.57 0.18108
804 34.83 0.123961
607 33.15 0.141415
898 30.34 0.143662
1554 42.01 0.098594
1354 27.92 0.119101
177 17.46 0.152064
1242 49.04 0.074217
3187 23.56 0.084874
2650 41.11 0.081337
2801 38.31 0.073444
3331 25.37 0.149725
1652 37.28 0.124576
3045 27.64 0.163928
3294 25.95 0.101606
412 42.14 0.131396
3006 17.2 0.193951
226 43.38 0.215622
1448 32.39 0.199743
1264 38.2 0.175549
1692 42.52 0.118582
2611 33.33 0.145289
2908 40.8 0.106982
1472 35.15 0.129718
2262 31.3 0.238323
3415 40.14 0.123172
1267 32.49 0.177425
3330 42.91 0.114428
3391 24.77 0.287129
3316 22.61 0.160399
1363 40.39 0.193418
1468 40.0 0.15987
181 33.99 0.234922
3019 44.46 0.1499
2620 17.17 0.204043
960 31.16 0.086755
1446 27.35 0.182484
3430 41.89 0.094579
2117 24.05 0.154185
1504 32.31 0.082715
2671 29.14 0.118837
2655 32.03 0.122125
1060 34.35 0.104795
1686 20.56 0.083417
2396 34.53 0.144341
965 35.48 0.140306
2030 16.12 0.164745
2247 22.7 0.156182
984 23.42 0.260886
702 15.35 0.243621
2137 34.28 0.252505
2469 24.37 0.114501
3096 43.03 0.16831
269 22.59 0.18371
497 36.32 0.241749
915 21.15 0.159969
845 31.55 0.12467
1889 20.62 0.146427
544 17.01 0.252972
2222 28.79 0.225555
2026 33.55 0.184358
2172 39.67 0.187878
719 30.94 0.131469
2227 17.34 0.125556
81 17.7 0.198544
3445 31.29 0.135875
680 15.46 0.225409
3290 20.06 0.201544
2064 22.56 0.221171
362 35.86 0.085725
3333 22.14 0.127251
1254 27.38 0.177838
3385 34.76 0.209131
2331 32.02 0.093452
2573 36.67 0.13678
3088 35.05 0.065215
2554 26.36 0.189804
1046 50.54 0.142259
1978 23.64 0.188455
135 38.86 0.215243
2085 30.08 0.271786
11 30.08 0.149909
2398 29.17 0.147643
2234 20.6 0.06929
542 18.78 0.146503
3436 34.43 0.135439
3394 19.93 0.158531
1238 14.12 0.417778
1479 34.37 0.094362
2009 21.52 0.15457
1675 18.39 0.129151
2832 22.63 0.107062
2784 34.73 0.125162
2228 23.72 0.091524
1493 27.5 0.126917
1332 40.15 0.129104
2836 24.67 0.219022
161 32.72 0.17161
3062 31.96 0.148885
1753 35.65 0.239881
1751 32.03 0.166909
2736 26.26 0.087957
1057 32.21 0.140886
2375 47.04 0.083492
150 38.69 0.183886
1725 36.55 0.136067
1547 36.73 0.148495
2138 21.84 0.140912
1996 45.01 0.125271
3075 29.18 0.126042
3200 22.86 0.132489
1769 28.19 0.118083
2446 26.93 0.089891
609 28.2 0.068301
1544 34.92 0.168959
1481 21.05 0.267908
921 26.93 0.075369
51 33.79 0.1709
2348 22.29 0.217153
455 30.18 0.096475
721 35.84 0.2298
2785 25.84 0.059855
782 31.95 0.142402
2527 29.55 0.082358
1003 34.63 0.180593
758 37.72 0.178471
1458 27.28 0.153385
639 34.39 0.11093
1336 33.25 0.139345
951 37.21 0.165957
346 34.46 0.182894
3012 28.25 0.168297
558 28.82 0.184351
3318 29.43 0.14863
2845 26.75 0.131603
2472 33.56 0.254637
487 26.22 0.186145
286 25.16 0.179708
320 22.45 0.146863
3157 30.69 0.103497
16 37.74 0.099338
2853 27.02 0.159424
2810 34.99 0.111499
1982 18.52 0.192294
1712 31.05 0.10955
817 35.66 0.177787
464 34.68 0.160893
1364 28.93 0.178482
3314 20.45 0.094774
43 20.83 0.156267
2439 27.84 0.122571
447 36.75 0.150977
1844 40.93 0.111909
1678 30.89 0.208596
2610 30.31 0.070228
1045 38.18 0.144639
3119 17.5 0.32178
2101 17.54 0.216776
1705 28.34 0.214996
1289 28.23 0.143001
399 51.15 0.170735
2819 31.62 0.355109
2297 35.28 0.105306
1975 36.96 0.10662
1733 27.19 0.203319
2949 26.39 0.162727
2624 32.06 0.175398
3173 26.09 0.156425
1107 35.08 0.16076
2760 45.77 0.101743
735 28.18 0.153674
2702 32.31 0.236914
526 27.5 0.15926
1684 35.24 0.173198
2572 45.32 0.316696
1029 29.87 0.234715
1538 33.64 0.087351
1234 30.28 0.117146
2092 30.7 0.138295
258 43.69 0.196453
959 27.43 0.158212
2729 32.99 0.106446
2484 28.66 0.228509
511 33.98 0.116605
469 44.51 0.248257
1036 36.17 0.087006
1536 30.24 0.065278
479 21.92 0.135346
1396 29.44 0.182288
260 16.35 0.242648
3190 39.62 0.193075
2421 34.26 0.152444
1204 43.48 0.102311
527 39.54 0.184014
2290 11.46 0.3027
2704 27.58 0.206817
3359 29.69 0.223277
2581 40.38 0.109946
3321 22.09 0.176164
3179 38.65 0.097538
1134 18.34 0.136212
1497 27.84 0.150745
2892 45.77 0.12667
3239 33.46 0.123213
2292 30.1 0.124935
1687 45.55 0.091062
629 28.42 0.216577
1990 31.12 0.176178
910 40.44 0.231849
3183 18.66 0.260914
2528 22.94 0.184526
44 33.1 0.192153
9 12.71 0.343122
2824 23.9 0.300734
2280 18.51 0.233704
723 22.44 0.100023
3180 31.65 0.131055
1159 31.68 0.156761
1977 34.5 0.157788
2207 41.22 0.147558
2330 39.72 0.217925
919 32.93 0.109608
97 23.44 0.175949
2367 38.25 0.13833
2963 27.79 0.091033
1531 25.72 0.146299
22 18.85 0.157606
829 29.9 0.123298
401 13.92 0.104374
1184 27.32 0.176365
1404 19.72 0.139936
1314 16.5 0.304351
1308 20.12 0.079214
2237 22.59 0.053356
3388 27.17 0.160441
581 15.99 0.194498
2956 40.68 0.195289
551 29.12 0.116471
2719 30.9 0.049519
1508 29.92 0.115514
132 21.76 0.128636
2177 29.26 0.174861
2701 9.79 0.987739
3262 32.03 0.107854
1659 42.47 0.195732
577 36.6 0.200501
2790 33.15 0.107602
1282 17.04 0.144858
292 33.4 0.134007
1584 16.73 0.285317
1145 17.36 0.154574
1298 20.26 0.278028
2386 25.11 0.172038
1088 24.59 0.165592
3295 25.09 0.15133
2063 27.87 0.192863
1390 36.32 0.107805
1395 16.55 0.320459
1322 34.59 0.15596
1818 46.69 0.131591
2420 31.72 0.156205
2488 26.82 0.072757
736 23.21 0.286586
1010 14.14 0.187708
1296 35.81 0.173234
1764 16.91 0.107757
2860 38.61 0.098353
2405 31.6 0.143326
1944 22.86 0.104205
981 26.45 0.160163
986 36.04 0.132056
2193 23.34 0.107656
2887 39.14 0.107627
1874 17.97 0.239295
351 21.88 0.277895
345 29.17 0.091573
3409 31.97 0.14688
751 28.24 0.150634
1164 21.46 0.129159
1545 16.48 0.135231
1627 23.79 0.112764
2466 17.72 0.243498
1455 17.35 0.15987
1971 27.88 0.124418
945 25.02 0.100148
740 25.99 0.164327
802 25.29 0.094268
137 45.29 0.086724
1679 26.19 0.290835
691 17.9 0.101384
2383 20.62 0.22214
2735 45.88 0.170989
726 42.87 0.177428
1622 33.95 0.233978
1934 17.03 0.171166
1815 22.62 0.216511
2583 15.26 0.16525
1246 22.55 0.0918
2675 47.24 0.103826
536 25.69 0.269283
1928 46.78 0.137748
462 19.23 0.199244
109 16.55 0.249772
89 16.37 0.196937
2552 16.68 0.254135
3065 26.83 0.148417
1351 23.96 0.172426
1158 32.49 0.15307
783 30.45 0.090441
2162 13.44 0.426179
192 33.06 0.337609
1848 23.6 0.133146
1357 33.53 0.117616
969 25.87 0.240422
754 41.69 0.068461
1196 27.35 0.235133
557 21.06 0.072117
977 36.28 0.153413
2765 25.95 0.341641
3368 21.32 0.159718
1941 35.21 0.083905
2288 14.39 0.283134
3353 30.5 0.102999
1102 27.38 0.180601
117 26.88 0.250388
310 34.88 0.161132
1083 16.24 0.089135
1252 36.64 0.119154
3233 34.83 0.104698
912 28.76 0.136765
1192 40.71 0.147818
2358 22.68 0.221657
2852 22.39 0.284197
2638 11.22 0.365423
2520 35.87 0.187707
1191 25.93 0.063362
1662 29.13 0.170799
2556 22.64 0.299
518 23.19 0.134198
648 24.94 0.240337
668 23.15 0.150369
151 30.22 0.138952
466 21.88 0.1514
492 38.4 0.066896
1923 19.91 0.206327
2160 22.15 0.135802
1516 38.76 0.16792
2879 34.12 0.117612
402 20.8 0.087395
707 32.78 0.080549
172 18.28 0.253198
1370 19.96 0.18188
865 28.55 0.156365
2031 29.84 0.149367
1478 20.94 0.20964
2830 23.1 0.166446
3452 34.58 0.112694
2060 30.52 0.093024
976 24.9 0.139182
500 29.94 0.196663
277 20.62 0.173434
1419 28.61 0.206307
2652 22.04 0.226243
1149 50.19 0.143797
855 13.2 0.328732
1562 18.0 0.167366
2282 25.39 0.150131
2156 29.05 0.114708
2394 19.11 0.207507
1100 27.43 0.146426
3268 37.18 0.107294
2427 34.61 0.104401
228 30.78 0.105508
2040 27.9 0.109936
3305 36.12 0.133662
2464 16.5 0.232515
1407 27.99 0.222656
1735 20.35 0.148791
3194 30.75 0.141881
1582 24.09 0.0911
948 27.75 0.179732
831 15.99 0.330988
1152 38.85 0.278871
1331 26.95 0.131949
60 35.78 0.229606
104 26.03 0.200258
2404 24.89 0.198902
298 25.5 0.19107
2960 13.0 0.372264
397 25.6 0.186898
792 22.07 0.163007
879 21.97 0.153845
808 33.69 0.084647
1347 20.67 0.120933
2470 13.24 0.202866
1680 46.69 0.045839
2976 34.12 0.179207
2413 19.62 0.121624
2732 38.12 0.194586
2249 20.85 0.221512
3354 24.02 0.196842
2642 21.3 0.109124
2086 32.91 0.133846
2189 36.87 0.13645
1221 41.84 0.13187
713 33.81 0.108458
2134 30.72 0.123936
681 23.36 0.137063
1201 32.37 0.170508
576 26.9 0.212652
2046 19.22 0.128116
3038 16.82 0.219359
531 29.37 0.095796
2576 28.15 0.147504
3014 44.28 0.182443
569 35.97 0.155166
2251 20.79 0.156567
2870 37.21 0.157148
2075 17.16 0.162694
1689 22.04 0.133724
2408 14.79 0.09788
282 20.85 0.149889
3128 32.49 0.267442
597 34.78 0.139201
742 22.27 0.271585
1900 12.08 0.208281
2401 19.14 0.093588
1337 17.72 0.176818
341 39.44 0.11283
1720 27.23 0.156578
1945 27.67 0.126433
2977 19.41 0.080572
5 14.41 0.125939
2679 31.92 0.115474
2850 32.13 0.109485
516 28.55 0.185788
655 24.73 0.118782
3288 30.26 0.205169
2931 44.96 0.103042
635 37.08 0.217625
568 42.6 0.176543
1640 35.39 0.195843
3033 29.18 0.125831
2894 20.39 0.091638
2423 17.71 0.268473
2957 30.51 0.150582
87 34.14 0.099122
2350 45.7 0.162204
2104 38.99 0.168599
256 22.14 0.240292
514 23.14 0.189546
2417 28.27 0.064099
133 31.21 0.202023
3453 20.47 0.138222
2614 24.67 0.207693
1830 28.76 0.105536
2374 38.55 0.147034
142 29.38 0.180707
1566 16.98 0.118838
1904 25.43 0.139363
1406 31.17 0.154479
58 12.01 0.457433
1745 13.96 0.281381
3370 39.94 0.142572
1019 19.7 0.367786
2839 36.19 0.185045
1819 30.56 0.085327
452 30.87 0.117702
30 22.84 0.113401
2437 33.48 0.179999
1222 25.71 0.169235
2264 19.82 0.175129
1509 30.99 0.150242
2862 31.41 0.141106
622 38.92 0.242473
2930 33.63 0.089853
3186 36.67 0.133026
3241 43.75 0.128667
2321 41.14 0.222406
1665 23.15 0.126347
3150 21.74 0.151723
439 26.65 0.092451
2016 34.57 0.117477
2277 15.7 0.171606
1757 23.65 0.105402
709 19.87 0.204624
849 30.36 0.139454
3395 23.25 0.192365
3427 35.32 0.202233
1959 24.48 0.246907
3216 19.58 0.13267
2841 27.09 0.109378
83 24.07 0.168893
3144 14.98 0.178298
3206 24.87 0.111499
790 10.96 0.500948
819 26.78 0.191944
863 26.87 0.217518
2626 30.26 0.186056
510 26.12 0.124811
3380 22.39 0.209613
818 21.73 0.186954
2519 19.75 0.196872
848 19.7 0.129565
1782 28.68 0.115038
1198 24.24 0.1062
2686 34.63 0.129624
2255 22.38 0.200765
2142 32.5 0.303879
2103 31.16 0.167672
3195 31.33 0.09554
1189 22.01 0.143489
2342 24.84 0.241296
2952 48.45 0.165944
3407 19.31 0.159362
2389 29.5 0.189026
3289 24.51 0.316733
1417 32.87 0.241958
3360 29.19 0.151392
650 40.22 0.084935
1257 21.41 0.278558
1842 25.31 0.125488
2881 18.23 0.255546
1777 29.43 0.150215
1502 29.31 0.108169
96 24.13 0.146997
1438 39.01 0.072601
2273 32.54 0.16688
1011 28.18 0.084855
317 35.98 0.189676
552 16.92 0.170382
2450 40.57 0.127963
229 25.43 0.113566
328 25.32 0.140214
2372 43.68 0.130599
1589 24.05 0.192094
2633 31.17 0.081988
140 28.38 0.294986
156 30.62 0.10697
2734 24.51 0.122253
2754 36.37 0.1719
2643 38.35 0.071018
2316 19.6 0.161996
1303 20.82 0.203862
335 14.34 0.26327
660 27.68 0.126179
704 26.97 0.129986
3299 23.66 0.121138
1899 26.29 0.25723
3455 15.88 0.15924
1301 14.07 0.231475
1188 30.06 0.211131
1120 29.81 0.150661
2088 31.87 0.094556
3193 24.84 0.088426
2179 32.44 0.098255
326 29.12 0.077679
395 35.69 0.154977
3039 21.2 0.139435
2937 34.41 0.091123
448 21.32 0.296471
2149 24.2 0.163994
204 26.75 0.262705
266 22.25 0.185648
344 29.38 0.197616
3089 37.33 0.126361
1065 17.35 0.097817
1614 25.46 0.121858
1594 25.59 0.111418
3327 28.04 0.079485
1320 20.34 0.225951
1485 29.82 0.216792
349 29.16 0.122557
1190 31.11 0.227329
94 11.29 0.386701
624 27.74 0.18901
596 28.88 0.224042
1171 15.48 0.173457
1565 19.2 0.300219
1325 23.72 0.323439
1737 23.43 0.128722
785 39.5 0.159917
2690 23.05 0.190498
2563 17.09 0.123805
1924 12.54 0.24312
643 29.2 0.127025
1781 23.96 0.212178
2209 26.64 0.222804
1070 19.71 0.158774
2534 24.04 0.153393
175 17.08 0.183489
278 37.91 0.143645
2706 20.61 0.125806
3020 24.75 0.122549
15 22.25 0.152396
3140 31.45 0.197081
2387 18.33 0.148032
2225 17.81 0.190791
2191 29.44 0.091952
1408 10.6 0.395966
1205 35.18 0.082437
1639 35.42 0.154134
1466 33.4 0.224023
952 16.58 0.173648
1463 11.72 0.366579
909 28.67 0.227064
716 40.6 0.119245
2670 12.28 0.344004
2229 29.23 0.169754
504 17.74 0.375185
856 39.54 0.148684
1128 28.74 0.1234
2449 26.31 0.326191
715 33.12 0.081039
289 30.99 0.145679
3027 45.66 0.142166
2411 18.33 0.16076
2259 16.57 0.209301
1852 15.25 0.133072
2036 17.94 0.204019
2033 36.93 0.126308
2628 15.0 0.204048
1597 24.29 0.097345
2186 18.14 0.086622
122 32.07 0.195824
1338 30.09 0.142702
443 17.63 0.197369
3184 31.07 0.155449
3352 22.23 0.077864
2665 33.85 0.147388
3152 19.78 0.306333
2674 33.05 0.123851
1571 30.19 0.114876
3410 27.7 0.156543
1723 30.13 0.165591
2365 21.18 0.228035
1422 29.19 0.107156
3211 23.91 0.203517
2035 31.25 0.147106
484 35.13 0.163805
1027 29.31 0.154147
62 12.92 0.332383
593 27.84 0.078485
936 29.95 0.189082
1911 23.17 0.217556
3272 27.04 0.11973
2926 19.74 0.205905
1505 20.99 0.262419
2022 12.61 0.324698
3355 29.67 0.148761
2688 26.27 0.097323
2545 18.68 0.178581
1114 29.46 0.08706
1833 35.8 0.064232
2332 41.26 0.134418
1358 30.49 0.15737
1636 23.02 0.209148
3372 36.48 0.144423
2597 33.05 0.13205
1415 21.84 0.160153
619 35.64 0.094116
2533 28.5 0.123568
1973 28.46 0.143363
3340 29.92 0.233268
1873 23.14 0.165115
925 26.54 0.194838
490 25.08 0.084817
2003 27.37 0.109528
37 22.62 0.199155
2859 20.44 0.235983
862 23.0 0.118373
891 22.07 0.137045
580 17.36 0.158535
1548 24.83 0.086138
2938 21.72 0.262688
1914 31.73 0.128372
2170 11.18 0.590056
259 30.45 0.231243
1663 25.21 0.196823
2058 43.7 0.178653
1985 34.65 0.153833
1816 20.43 0.076317
1804 31.7 0.236245
2685 20.09 0.197956
697 30.24 0.131151
110 34.27 0.130944
2210 28.44 0.196864
797 35.49 0.147665
1169 32.83 0.186272
2053 16.5 0.230786
2455 32.26 0.149581
2430 22.29 0.204008
3438 31.85 0.200284
1623 25.57 0.222385
712 33.08 0.197596
2815 26.84 0.093583
3177 24.15 0.118442
3403 29.83 0.109882
1457 27.65 0.244624
468 25.75 0.200311
3196 15.51 0.17676
1890 27.98 0.17663
1124 29.15 0.117808
908 13.99 0.143239
1286 27.12 0.227584
3041 31.92 0.144859
1183 16.58 0.256364
1727 19.77 0.222694
2474 19.72 0.200933
240 18.8 0.293825
2116 24.98 0.164879
2369 35.84 0.089747
2592 20.67 0.111323
2503 17.0 0.124658
738 34.53 0.113553
2478 16.27 0.225679
2106 40.65 0.083775
987 23.26 0.152323
761 24.47 0.206165
1880 16.25 0.207973
3095 35.2 0.134501
2245 28.0 0.134751
193 34.57 0.171656
360 18.05 0.119449
3414 29.33 0.103847
2925 24.82 0.159284
2656 23.61 0.151193
1217 32.02 0.167349
3252 24.89 0.129846
2021 33.24 0.132955
3142 19.3 0.271835
762 24.66 0.083168
1280 22.33 0.078807
2038 15.94 0.170849
382 22.01 0.168015
2500 31.82 0.136594
2327 25.92 0.17532
2062 35.8 0.183729
1809 24.54 0.148358
1143 31.1 0.222021
600 15.35 0.304382
2076 33.88 0.15784
2547 19.48 0.105155
2521 19.66 0.140205
583 23.98 0.151933
2827 26.55 0.164416
1494 21.55 0.131783
3441 22.23 0.109001
112 17.85 0.150192
