415495 particles, 3457 voids.
Void# FileVoid# CoreParticle CoreDens ZoneVol Zone#Part Void#Zones VoidVol Void#Part VoidDensContrast VoidProb
63 3225 398086 1.105363e-01 3.698692e+02 336 2 7.778327e+02 707 2.152814 8.30e-04
64 2710 357008 1.132505e-01 3.130887e+02 365 1 3.130887e+02 365 2.148061 8.63e-04
65 869 180201 1.073713e-01 3.923559e+02 314 1 3.923559e+02 314 2.144746 8.86e-04
66 3247 399310 1.287933e-01 3.593473e+02 344 1 3.593473e+02 344 2.144357 8.88e-04
67 3364 408313 1.158010e-01 3.183633e+02 271 2 7.327425e+02 679 2.141296 9.10e-04
68 231 90898 1.216001e-01 2.602239e+02 212 1 2.602239e+02 212 2.139353 9.25e-04
69 690 159367 9.958926e-02 9.948773e+02 823 2 1.587809e+03 1338 2.138016 9.34e-04
70 718 163113 1.494721e-01 2.713664e+02 259 2 4.152499e+02 379 2.125063 1.04e-03
71 2515 339218 9.547865e-02 5.916155e+02 532 1 5.916155e+02 532 2.121048 1.07e-03
72 813 174333 1.467592e-01 2.769930e+02 258 1 2.769930e+02 258 2.120360 1.07e-03
73 1991 293471 1.182453e-01 2.394263e+02 186 4 6.606584e+02 524 2.114479 1.13e-03
74 1515 247963 1.456211e-01 1.851319e+02 178 1 1.851319e+02 178 2.108970 1.17e-03
75 2468 335962 1.147590e-01 1.834401e+02 173 2 4.616040e+02 439 2.106859 1.19e-03
76 1707 265883 9.626915e-02 2.786893e+02 197 2 4.826986e+02 347 2.103499 1.23e-03
77 3343 405897 1.200145e-01 2.065990e+02 186 1 2.065990e+02 186 2.103010 1.23e-03
78 2265 319758 1.179607e-01 5.435384e+02 449 1 5.435384e+02 449 2.091766 1.34e-03
79 3377 409460 9.870199e-02 4.528896e+02 405 1 4.528896e+02 405 2.077393 1.50e-03
80 2306 322305 1.052103e-01 4.471009e+02 394 2 5.152042e+02 469 2.074666 1.53e-03
81 1287 224929 1.107420e-01 3.743499e+02 318 1 3.743499e+02 318 2.074488 1.53e-03
82 2975 378798 1.205262e-01 4.281904e+02 422 2 5.366600e+02 523 2.070420 1.58e-03
83 1104 206104 1.682712e-01 2.827297e+02 276 1 2.827297e+02 276 2.068065 1.61e-03
84 1055 200747 1.949804e-01 1.154134e+02 154 1 1.154134e+02 154 2.067138 1.62e-03
85 143 71371 1.219602e-01 2.660466e+02 226 2 5.709405e+02 488 2.061752 1.69e-03
86 1256 221595 1.194238e-01 7.136441e+02 638 2 9.737776e+02 870 2.059351 1.72e-03
87 1202 217232 1.966034e-01 1.124254e+02 145 1 1.124254e+02 145 2.059093 1.73e-03
88 1432 238355 1.158619e-01 2.597774e+02 238 1 2.597774e+02 238 2.055228 1.78e-03
89 810 174279 1.589647e-01 1.144455e+02 118 1 1.144455e+02 118 2.051809 1.82e-03
