415495 particles, 3454 voids.
Void# FileVoid# CoreParticle CoreDens ZoneVol Zone#Part Void#Zones VoidVol Void#Part VoidDensContrast VoidProb
80 1287 224929 0.110742 374.349915 318 1 374.349915 318 2.074488 0.001530
81 2975 378798 0.120526 428.190399 422 2 536.659973 523 2.070420 0.001580
82 1104 206104 0.168271 282.729706 276 1 282.729706 276 2.068065 0.001610
83 1055 200747 0.194980 115.413399 154 1 115.413399 154 2.067138 0.001620
84 143 71371 0.121960 266.046600 226 2 570.940491 488 2.061752 0.001690
85 1256 221595 0.119424 713.644104 638 2 973.777588 870 2.059351 0.001720
86 1202 217232 0.196603 112.425400 145 1 112.425400 145 2.059093 0.001730
87 1432 238355 0.115862 259.777405 238 1 259.777405 238 2.055228 0.001780
88 810 174279 0.158965 114.445503 118 1 114.445503 118 2.051809 0.001820
89 2677 353210 0.098380 429.043701 359 1 429.043701 359 2.049326 0.001860
90 2371 327669 0.135413 229.209305 205 1 229.209305 205 2.045938 0.001910
91 1823 276774 0.170390 197.916504 214 1 197.916504 214 2.043542 0.001940
92 1511 247229 0.120632 341.021790 261 4 1005.286011 850 2.042178 0.001960
93 2426 332802 0.167984 318.346985 360 1 318.346985 360 2.041975 0.001960
94 1613 257233 0.146900 222.999405 257 1 222.999405 257 2.041178 0.001980
95 2788 362570 0.134435 183.091599 183 1 183.091599 183 2.040760 0.001980
96 1235 219759 0.137082 382.306305 374 1 382.306305 374 2.038368 0.002020
97 1647 260843 0.174150 288.336700 300 1 288.336700 300 2.029343 0.002160
98 3063 385142 0.157530 196.565002 242 1 196.565002 242 2.028821 0.002170
99 931 186405 0.139057 453.910187 416 1 453.910187 416 2.026843 0.002200
100 2512 338904 0.150228 208.126404 212 1 208.126404 212 2.025951 0.002220
101 1655 261606 0.104457 640.911011 529 3 1491.854980 1217 2.021992 0.002280
102 1673 263333 0.114445 344.493591 306 2 416.073792 367 2.020036 0.002320
103 2558 342839 0.115848 677.585571 697 1 677.585571 697 2.015733 0.002390
104 1261 222284 0.105353 312.800812 259 1 312.800812 259 2.014409 0.002410
105 1847 279477 0.178286 143.140793 168 1 143.140793 168 2.010098 0.002490
106 2767 361012 0.110923 423.579010 429 1 423.579010 429 2.006134 0.002570
107 3379 409731 0.126235 249.476807 223 2 858.561279 830 2.005316 0.002580
108 3261 400541 0.182678 153.878296 178 1 153.878296 178 1.997701 0.002730
109 1113 206836 0.110084 311.974213 289 1 311.974213 289 1.995973 0.002770
110 805 173539 0.146609 233.272705 230 1 233.272705 230 1.993814 0.002810
111 1131 208882 0.133146 338.652802 349 1 338.652802 349 1.979150 0.003130
112 2837 367120 0.159315 209.554306 209 1 209.554306 209 1.975985 0.003200
113 233 91142 0.179222 179.452301 213 1 179.452301 213 1.972442 0.003280
114 3362 408299 0.117320 335.714294 315 1 335.714294 315 1.971884 0.003300
115 2266 319759 0.123375 405.315887 383 3 807.850830 702 1.969367 0.003360
116 2050 299108 0.141246 299.888794 296 1 299.888794 296 1.967806 0.003400
117 1543 250922 0.122985 568.880676 524 1 568.880676 524 1.967305 0.003410
118 375 115940 0.135342 280.797394 244 1 280.797394 244 1.961950 0.003540
119 2916 374311 0.114738 178.279999 170 2 428.107391 422 1.948894 0.003890
120 1067 202410 0.161877 267.334991 294 1 267.334991 294 1.946664 0.003950
121 666 157129 0.125231 860.595825 694 1 860.595825 694 1.938725 0.004180
122 1082 204122 0.129680 304.149902 290 1 304.149902 290 1.933188 0.004350
123 1117 207287 0.120867 325.781586 325 2 705.128601 674 1.931456 0.004410
124 3400 411009 0.140605 195.181503 200 1 195.181503 200 1.929444 0.004470
125 1570 253302 0.124344 176.156204 149 3 491.837311 434 1.925149 0.004610
126 3278 401611 0.156391 329.219513 296 1 329.219513 296 1.919026 0.004810
127 1752 270510 0.162168 280.209900 318 1 280.209900 318 1.918894 0.004810
128 694 159820 0.110382 467.378510 385 3 962.658508 824 1.915069 0.004950
129 2006 294450 0.139429 206.233002 200 1 206.233002 200 1.913618 0.005000
130 2095 303484 0.175639 242.280197 252 1 242.280197 252 1.910528 0.005110
131 2795 362936 0.169137 298.137512 269 1 298.137512 269 1.907412 0.005220
132 2007 294522 0.131388 304.036804 335 1 304.036804 335 1.906983 0.005230
133 3108 388269 0.142014 295.459686 309 1 295.459686 309 1.904144 0.005340
134 1796 273601 0.147582 341.966309 349 1 341.966309 349 1.904103 0.005340
135 2005 294443 0.167006 173.418106 171 1 173.418106 171 1.901948 0.005420
136 1263 222371 0.163008 295.725098 290 1 295.725098 290 1.891998 0.005810
137 875 180676 0.156692 179.501495 169 1 179.501495 169 1.891479 0.005830
138 530 139120 0.196774 125.823097 138 1 125.823097 138 1.888750 0.005940
139 303 103575 0.173953 304.363892 320 1 304.363892 320 1.888109 0.005970
140 2920 374749 0.115815 785.299377 676 2 965.841797 850 1.885221 0.006090
141 1380 234199 0.193850 80.491043 89 1 80.491043 89 1.882225 0.006220
142 706 161725 0.112890 353.312408 257 2 735.311401 658 1.880451 0.006290
143 2346 325253 0.130707 340.029297 327 2 543.638916 525 1.878884 0.006360
144 3435 414002 0.120002 688.630493 682 1 688.630493 682 1.877145 0.006440
145 2676 352927 0.122588 371.354401 313 5 1170.092041 987 1.876539 0.006470
146 990 193303 0.167361 374.243195 383 1 374.243195 383 1.876355 0.006480
147 724 163759 0.245216 111.263298 139 1 111.263298 139 1.875962 0.006490
148 1091 205187 0.144468 417.119690 397 1 417.119690 397 1.875890 0.006500
149 2220 314791 0.123058 378.171204 301 1 378.171204 301 1.871817 0.006680
150 2739 359227 0.111537 870.714905 848 3 1384.603027 1307 1.865558 0.006970
151 567 145270 0.116864 467.053986 372 4 1350.112061 1153 1.860492 0.007220
152 1641 260346 0.219595 99.240593 131 1 99.240593 131 1.859291 0.007280
153 1210 217733 0.155059 122.911301 134 1 122.911301 134 1.858626 0.007310
154 1400 235047 0.126498 413.862000 374 2 603.863098 549 1.858045 0.007340
155 2844 367856 0.203173 104.650002 138 1 104.650002 138 1.856382 0.007420
156 2585 345083 0.182169 105.268700 110 1 105.268700 110 1.856225 0.007430
157 2352 325884 0.109831 260.853790 191 2 514.820984 405 1.853752 0.007560
158 348 112621 0.138846 133.275406 99 1 133.275406 99 1.847007 0.007910
159 1092 205253 0.165560 197.927307 201 1 197.927307 201 1.846131 0.007960
160 614 150830 0.115415 1226.109985 1114 1 1226.109985 1114 1.846120 0.007960
161 3154 391312 0.110777 841.390808 667 1 841.390808 667 1.838259 0.008400
162 1698 265417 0.202432 145.998001 171 1 145.998001 171 1.837517 0.008440
163 1137 209261 0.174085 250.310104 248 1 250.310104 248 1.836456 0.008500
164 1071 202599 0.212837 148.771301 207 1 148.771301 207 1.835565 0.008550
165 2980 378974 0.166589 133.850204 131 1 133.850204 131 1.831676 0.008780
166 1259 222069 0.147700 376.984009 411 1 376.984009 411 1.829852 0.008880
167 3375 409439 0.127123 289.781891 243 1 289.781891 243 1.827440 0.009030
168 2403 330199 0.223341 130.591904 178 1 130.591904 178 1.826761 0.009070
169 1730 268552 0.117051 437.384399 323 3 1559.061035 1314 1.824447 0.009210
170 178 80392 0.178888 183.270599 159 1 183.270599 159 1.823868 0.009250
171 3408 411778 0.165741 207.568893 189 1 207.568893 189 1.821005 0.009430
172 2627 348245 0.146711 192.102402 164 1 192.102402 164 1.820269 0.009470
173 1812 275645 0.151862 180.260696 139 1 180.260696 139 1.818679 0.009580
174 832 176522 0.115812 306.861908 276 5 1709.055054 1414 1.814846 0.009820
175 2185 311464 0.190821 169.330994 211 1 169.330994 211 1.812137 0.010000
176 478 132923 0.171710 193.592606 192 1 193.592606 192 1.811487 0.010000
177 1935 288028 0.129126 203.190094 209 1 203.190094 209 1.811366 0.010100
178 2214 314369 0.129933 358.805511 297 2 486.524200 417 1.811225 0.010100
179 2481 336951 0.172447 277.401001 313 1 277.401001 313 1.810348 0.010100
180 460 131174 0.170917 147.192200 151 1 147.192200 151 1.810036 0.010100
181 1970 291897 0.155488 445.340515 407 1 445.340515 407 1.808709 0.010200
182 480 133153 0.207407 161.686005 162 1 161.686005 162 1.805024 0.010500
183 883 181369 0.121077 312.143890 279 1 312.143890 279 1.802402 0.010700
184 2090 303152 0.197158 118.256699 118 1 118.256699 118 1.795629 0.011200
185 2667 352073 0.116223 374.892395 373 2 517.676208 498 1.795394 0.011200
186 1399 234913 0.211705 85.831261 123 1 85.831261 123 1.793985 0.011300
187 1688 264616 0.191639 252.202301 292 1 252.202301 292 1.791265 0.011500
188 3437 414055 0.127395 567.742981 574 2 967.566895 966 1.789881 0.011600
189 2777 361816 0.118548 302.610809 219 2 486.385498 359 1.786722 0.011800
190 136 68729 0.320442 49.785519 76 1 49.785519 76 1.786353 0.011900
191 665 156933 0.208922 84.797867 110 1 84.797867 110 1.785767 0.011900
192 2150 308319 0.398371 16.006300 23 1 16.006300 23 1.785165 0.012000
193 1496 245445 0.261372 57.849171 87 1 57.849171 87 1.784809 0.012000
194 239 91978 0.192650 141.460297 130 1 141.460297 130 1.784345 0.012000
195 3347 406397 0.155895 184.171997 189 1 184.171997 189 1.782894 0.012100
196 3161 392130 0.144018 177.673401 144 2 330.785492 302 1.780593 0.012300
197 756 167463 0.114848 569.796692 579 1 569.796692 579 1.780576 0.012300
198 2912 373562 0.131361 416.336395 348 3 1309.350952 1082 1.779334 0.012400
199 1233 219654 0.184601 158.246902 178 1 158.246902 178 1.770635 0.013100
200 843 177210 0.168484 128.292496 153 1 128.292496 153 1.770548 0.013200
201 1437 238765 0.144641 179.231003 187 1 179.231003 187 1.770393 0.013200
202 2049 298888 0.197539 78.163422 96 1 78.163422 96 1.769769 0.013200
203 2147 308200 0.176599 250.000198 268 1 250.000198 268 1.767913 0.013400
204 1836 277802 0.121039 584.724487 467 4 1068.355957 962 1.765772 0.013600
205 692 159605 0.189741 181.401703 199 1 181.401703 199 1.765327 0.013600
206 1220 218790 0.129479 525.312317 420 1 525.312317 420 1.765296 0.013600
207 2532 340805 0.273862 82.214279 114 1 82.214279 114 1.765174 0.013600
208 1226 219207 0.122511 714.563721 599 1 714.563721 599 1.761088 0.014000
209 717 163061 0.117559 234.576904 234 1 234.576904 234 1.761083 0.014000
210 3156 391333 0.149818 236.508698 244 1 236.508698 244 1.760679 0.014000
211 1090 205157 0.248255 102.024696 118 1 102.024696 118 1.759715 0.014100
212 2370 327306 0.191095 130.784607 140 1 130.784607 140 1.759356 0.014200
213 2146 308130 0.117115 451.972595 402 3 1042.876953 884 1.757350 0.014300
214 1156 211088 0.137174 167.603394 151 1 167.603394 151 1.755005 0.014600
215 3110 388568 0.143294 279.123199 260 1 279.123199 260 1.754311 0.014600
216 288 101421 0.143839 554.531189 502 1 554.531189 502 1.753644 0.014700
217 434 127214 0.167010 312.195892 265 1 312.195892 265 1.753610 0.014700
218 180 80581 0.169876 278.984100 316 1 278.984100 316 1.753021 0.014700
